season,season_type,week,player_display_name,player_position,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
2019,REG,0,Brandin Cooks,WR,LAR,6.161666667,3.111044564,13.83958333,20.96893328,42,72,58.33333333,583,2,4.089285714,3.888088455,0.201197259,00-0031236,Brandin,Cooks,12,B.Cooks
2019,REG,0,Larry Fitzgerald,WR,ARI,6.151442308,2.975833333,7.485412844,21.61511317,75,109,68.80733945,804,4,5.050933333,4.46853339,0.582399943,00-0022921,Larry,Fitzgerald,11,L.Fitzgerald
2019,REG,0,Cole Beasley,WR,BUF,6.104086022,3.174772846,7.620283019,17.92387098,67,106,63.20754717,778,6,5.320746269,4.997926525,0.322819744,00-0029000,Cole,Beasley,10,C.Beasley
2019,REG,0,Diontae Johnson,WR,PIT,6.091304348,3.621548229,8.977282609,21.86549403,59,92,64.13043478,680,5,5.062881356,4.783028742,0.279852614,00-0035216,Diontae,Johnson,18,D.Johnson
2019,REG,0,T.Y. Hilton,WR,IND,6.085373134,3.009626716,10.19705882,17.61293207,45,68,66.17647059,501,5,4.802,3.997755613,0.804244387,00-0029608,Eugene,Hilton,13,T.Hilton
2019,REG,0,Jamison Crowder,WR,NYJ,6.047029703,3.028693984,7.933852459,24.1320678,78,122,63.93442623,833,6,4.718076923,4.069285679,0.648791244,00-0031941,Jamison,Crowder,82,J.Crowder
2019,REG,0,Christian Kirk,WR,ARI,6.046354167,3.455413137,9.481018519,27.12651534,68,108,62.96296296,709,3,4.406029412,4.526320132,-0.12029072,00-0034775,Christian,Kirk,13,C.Kirk
2019,REG,0,Mark Andrews,TE,BAL,6.029375,2.982031155,10.83969072,28.65329903,63,97,64.94845361,854,10,4.895396825,4.38919657,0.506200255,00-0034753,Mark,Andrews,89,M.Andrews
2019,REG,0,Tyler Higbee,TE,LAR,5.981384615,3.681872099,6.472921348,12.12302953,69,89,77.52808989,734,3,6.08884058,5.778851122,0.309989458,00-0033110,Tyler,Higbee,89,T.Higbee
2019,REG,0,Taylor Gabriel,WR,CHI,5.960425532,3.149531741,11.54916667,12.73477414,29,48,60.41666667,353,4,2.91137931,3.209814004,-0.298434694,00-0031228,Taylor,Gabriel,18,T.Gabriel
