season,season_type,week,player_display_name,player_position,team_abbr,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,expected_rush_yards,rush_yards_over_expected,avg_rush_yards,rush_yards_over_expected_per_att,rush_pct_over_expected,rush_touchdowns,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
2019,REG,0,Todd Gurley,RB,LAR,4.43201867,24.21524664,2.968726457,223,857,1007.050832,-150.050832,3.843049327,-0.672873686,0.3632287,12,00-0032241,Todd Gurley II,Gurley,30,T.Gurley
2019,REG,0,Sony Michel,RB,NE,4.246633772,33.60323887,2.704331984,247,912,961.7452579,-49.74525788,3.692307692,-0.201397805,0.400809717,7,00-0034845,Sony,Michel,26,S.Michel
2019,REG,0,Kenyan Drake,RB,ARI,3.664381885,8.823529412,2.897441176,170,817,756.3775123,36.6224877,4.805882353,0.217990998,0.363095238,8,00-0033118,Kenyan,Drake,41,K.Drake
2019,REG,0,Devin Singletary,RB,BUF,3.516477419,5.298013245,2.926907285,151,775,714.3191836,60.6808164,5.132450331,0.401859711,0.417218543,2,00-0035250,Devin,Singletary,26,D.Singletary
2019,REG,0,LeSean McCoy,RB,KC,3.653526882,10.89108911,2.752544554,101,465,485.5338931,-20.53389312,4.603960396,-0.203305872,0.277227723,4,00-0027029,LeSean,McCoy,25,L.McCoy
2019,REG,0,Austin Ekeler,RB,LAC,4.403141831,10.60606061,3.088856061,132,557,631.2325705,-74.23257045,4.21969697,-0.562367958,0.318181818,3,00-0033699,Austin,Ekeler,30,A.Ekeler
2019,REG,0,Jamaal Williams,RB,GB,3.644173913,20.56074766,2.550327103,107,460,465.211222,-5.211221981,4.299065421,-0.048703009,0.392523364,1,00-0033948,Jamaal,Williams,30,J.Williams
2019,REG,0,Saquon Barkley,RB,NYG,3.661994018,11.52073733,2.892133641,217,1003,873.5935675,127.4064325,4.622119816,0.589844595,0.347222222,6,00-0034844,Saquon,Barkley,26,S.Barkley
2019,REG,0,Benny Snell,RB,PIT,4.054295775,39.81481481,2.804592593,108,426,372.6907127,53.30928732,3.944444444,0.493604512,0.490740741,2,00-0035217,Benny,Snell,24,B.Snell Jr.
2019,REG,0,Leonard Fournette,RB,JAX,3.844270833,31.69811321,2.807543396,265,1152,1027.09798,123.9020198,4.347169811,0.469325833,0.318181818,3,00-0033856,Leonard,Fournette,27,L.Fournette
2019,REG,0,Le'Veon Bell,RB,NYJ,4.479898606,17.14285714,2.864640816,245,789,886.2346628,-99.23466284,3.220408163,-0.41006059,0.388429752,3,00-0030496,Le'Veon,Bell,26,L.Bell
2019,REG,0,Mark Ingram,RB,BAL,3.336227898,22.27722772,2.774608911,202,1018,903.4590225,100.5409775,5.03960396,0.512964171,0.403061224,10,00-0027966,Mark,Ingram,21,M.Ingram II
2019,REG,0,Alexander Mattison,RB,MIN,4.038549784,34,2.72403,100,462,404.5337485,57.46625152,4.62,0.574662515,0.38,1,00-0034972,Alexander,Mattison,25,A.Mattison
2019,REG,0,Devonta Freeman,RB,ATL,4.590060976,22.82608696,2.917440217,184,656,873.7628931,-217.7628931,3.565217391,-1.183493984,0.293478261,2,00-0031285,Devonta,Freeman,24,D.Freeman
2019,REG,0,Derrick Henry,RB,TEN,3.452948052,35.31353135,2.780268212,303,1540,1207.46687,313.5331296,5.082508251,1.048605785,0.448160535,16,00-0032764,Derrick,Henry,22,D.Henry
2019,REG,0,Nick Chubb,RB,CLE,3.554564926,13.08724832,2.977620805,298,1494,1222.04509,270.9549099,5.013422819,0.912306094,0.414141414,8,00-0034791,Nicholas,Chubb,24,N.Chubb
2019,REG,0,James Conner,RB,PIT,4.073642241,13.79310345,2.871715517,116,464,499.8760491,-35.87604906,4,-0.309276285,0.379310345,4,00-0033553,James,Conner,30,J.Conner
2019,REG,0,DeAndre Washington,RB,LV,4.279457364,14.81481481,2.779787037,108,387,482.5080721,-95.50807209,3.583333333,-0.884334001,0.305555556,3,00-0032940,DeAndre,Washington,33,D.Washington
2019,REG,0,Ronald Jones,RB,TB,3.747845304,26.1627907,2.63344186,172,724,692.3416009,31.6583991,4.209302326,0.18406046,0.343023256,6,00-0034816,Ronald,Jones,27,R.Jones
